Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device.Bridging.Bridge.1.Port.3.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.Ethernet.Interface.2.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"eth0.4",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.4.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.1.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"ra0",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.4.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.5,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
